id,cast,crew
802442,11,2
178335,12,4
662851,11,3
475870,9,4
211814,14,22
33875,16,5
1894,98,74
201423,2,2
358465,12,2
726084,0,0
40576,7,20
15370,14,114
129,48,28
711979,25,13
665530,12,1
440050,7,4
36198,0,2
25675,8,5
21744,4,11
2135,29,96
63486,10,7
138471,9,4
109572,9,1
41453,14,24
778087,16,0
796091,0,1
48617,0,14
818381,0,1
645093,3,6
506343,4,1
200770,4,3
90602,19,2
65922,4,8
46130,21,20
425,22,154
391385,3,3
105391,0,1
105743,8,9
741943,0,0
526722,5,5
508675,10,6
124768,0,3
27601,44,27
4614,34,186
745183,13,19
582099,0,1
200395,18,2
166823,3,2
158838,7,2
9637,28,173
442253,11,8
789641,9,8
73843,7,3
749707,9,3
86976,13,11
12100,12,55
818,123,171
597152,8,4
9378,18,167
5493,14,10
1576,22,155
141,40,141
355474,5,4
9428,63,34
320,25,54
5844,7,12
321033,12,3
307039,10,4
288762,5,7
41820,8,10
33320,10,16
9398,105,135
230440,6,19
544218,14,2
96716,4,3
644301,4,6
36274,17,5
2675,20,137
126928,14,3
435954,8,4
240962,9,3
87069,17,6
307291,7,4
239372,4,8
10592,23,101
4147,34,153
359330,13,12
708519,5,7
701351,1,9
222480,1,6
647798,4,4
367190,15,3
141301,8,15
528127,0,1
652023,6,4
4248,35,188
455743,16,9
269162,17,3
258802,4,4
545520,4,7
335385,9,10
99734,67,3
39962,4,16
7451,28,210
268242,1,0
258975,4,1
69400,7,2
68919,3,15
662171,0,0
31442,9,12
10436,28,12
545613,0,0
523634,11,1
523633,11,1
523631,11,1
523629,14,1
523627,16,1
523625,15,1
523622,12,1
523621,12,1
523619,13,1
523618,7,1
523614,8,1
523613,8,1
523611,5,1
517935,9,3
382701,8,1
259979,3,2
196936,14,4
373746,6,2
125858,10,5
62447,2,1
13438,5,10
8869,25,122
180,106,521
109048,14,20
50123,17,13
11891,12,79
2899,71,28
565,35,166
2294,41,150
425705,0,1
27910,10,14
8470,62,266
552151,14,3
12636,9,9
14455,11,6
72092,8,4
1783,18,30
301507,5,4
71117,6,5
32166,13,23
672,73,181
735425,0,0
37326,15,3
256128,0,2
586507,5,4
323365,24,1
22509,8,11
779440,0,8
709434,0,6
709382,0,6
173075,4,1
184985,12,2
308881,7,1
65984,6,2
828391,3,2
746811,11,3
26886,16,21
447532,3,4
219957,0,0
147777,5,3
213447,9,3
260361,14,2
630410,8,2
590066,5,7
264574,8,4
109142,9,3
9573,19,50
